spent_usd,n_impressions,n_clicks
1.429999948,7350,1
1.820000023,17861,2
1.25,4259,1
1.289999962,4133,1
4.769999981,15615,3
1.269999981,10951,1
1.5,2355,1
3.159999967,9502,3
10.28000021,14669,7
0.569999993,2305,1
1.690000057,4627,1
4.6300001139999996,21026,4
2.609999895,7132,2
3.049999952,12190,2
3.0599999430000002,12193,2
2.9800000190000002,7440,2
5.5200001,19113,4
1.690000057,10976,2
8.470000148,23817,7
15.82000017,47224,12
1.470000029,2283,1
1.529999971,2182,1
18.06999969,57665,14
1.610000014,3091,1
1.190000057,5014,1
9.220000267,38726,7
1.50999999,5369,1
9.430000067,22221,7
6.9600000380000004,13019,5
1.220000029,2508,1
2.799999952,5864,2
1.600000024,2783,1
1.129999995,3812,1
5.730000019,11199,4
9.379999995,17572,7
5.629999995,13329,4
3.840000033,13659,3
1.039999962,5374,1
1.460000038,4423,1
2.839999914,12382,2
1.350000024,2938,1
5.75,10332,4
3.9800000190000002,8259,3
4.449999928,12158,3
1.320000052,7709,2
4.090000033,10466,3
1.529999971,5576,1
10.03000009,39337,7
4.25,13479,3
20.29000032,57022,13
1.389999986,5453,1
4.440000057,11803,3
1.570000052,4259,1
1.289999962,5323,1
1.409999967,5024,1
33.33000004,104648,24
3.340000093,8504,3
8.050000072,20277,6
5.2100000380000004,12403,4
2.349999964,6907,2
19.32999957,39035,13
1.450000048,4412,1
4.050000072,9965,3
32.97999978,73634,23
31.28999949,69708,20
8.789999962,14257,6
9.119999886,20362,5
6.26000011,12215,4
38.63999999,85412,28
0.239999995,2338,1
1.090000033,3891,1
2.680000067,11199,2
3.00999999,5676,2
1.580000043,2148,1
14.06000042,45401,10
2.9000000950000002,7478,2
1.590000033,4919,1
4.590000153,17553,3
0.540000021,3343,1
13.41000009,34740,7
0.860000014,3010,1
10.77000046,27081,9
5.590000153,20233,4
58.16000044,147159,36
10.61999977,21664,7
5.4600000380000004,9112,4
20.17999983,46150,15
176.3799977,493821,116
34.39000046,92011,27
5.49000001,12956,4
1.419999957,944,1
51.97000027,111090,38
3.1900000569999998,7208,2
1.960000038,12489,2
0.600000024,8032,1
1.149999976,4607,1
3.180000067,13355,2
0.980000019,2793,1
1.480000049,4016,2
2.939999938,14843,3
4.600000024,9674,3
2.669999957,12186,2
10.96000051,31393,8
2.359999895,8410,2
7.350000143,25884,5
9.340000033,28488,10
4.6199998860000004,10126,3
8.5,22572,5
2.420000076,4868,2
2.950000048,6585,2
3.720000029,10164,2
4.449999809,11182,4
13.07000017,34127,8
10.84999967,29466,7
10.84999967,38759,9
12.06000006,41720,10
8.860000134,18602,5
27.72999954,83929,21
7.349999905,25194,6
26.53000045,78627,19
39.42999983,102695,25
47.93000031,82827,24
6.0399999619999996,9240,3
2.369999886,7706,2
6.340000153,7821,4
53.21999949,119063,34
35.79999948,99078,23
180.2200012,452398,114
76.41000056,191223,48
9.549999952,22216,6
18.01999998,48291,11
13.37,27559,8
4.590000033,10194,4
25.86000001,40126,16
0.49000001,3659,1
1.679999948,7550,1
25.41999936,45397,15
3.310000062,23086,2
1.549999952,16425,1
5.439999938,43756,5
81.60999787,175389,55
4.98999989,12706,3
31.7099998,70702,20
25.52000046,63927,16
4.25999999,15105,3
1.830000043,8774,1
1.389999986,14459,1
2.8099999430000002,21596,2
11.04999971,66765,8
7.229999781,26910,5
4.269999862,11988,3
9.4799999,19353,6
2.890000105,10960,2
10.56999969,33491,6
3.200000048,20083,2
0.970000029,15466,1
4.370000005,27072,3
0.569999993,15753,1
1.809999943,3523,1
3.319999933,18709,2
1.179999948,7966,1
4.730000019,12785,3
1.379999995,8213,1
1.25999999,2479,1
3.049999952,3812,2
3.579999924,10257,3
6.279999971,12356,4
1.210000038,7410,1
46.63000011,140098,28
34.44000012,107021,20
1.289999962,2797,1
9.21999979,16461,6
7.719999909,17488,5
1.5,9750,2
0.180000007,4333,1
5.389999866,11292,3
5.779999852,12729,4
0.99000001,2883,1
1.279999971,3989,1
5.279999971,19603,4
1.379999995,3047,1
1.049999952,3029,1
1.340000033,3490,1
10.42999983,19581,7
6.099999905,19537,5
19.65999949,59433,12
56.19000077,157534,33
6.029999852,23769,4
1.830000043,4726,1
0.959999979,5209,1
2.619999945,13473,3
1.360000014,4616,1
6.050000191,14615,4
19.88000035,56615,12
4.529999971,11735,3
6.779999852,15910,5
3.090000033,11446,2
3.140000105,9388,2
7.5400002,17954,6
0.99000001,8152,1
34.1500001,74542,19
3.090000033,6699,2
3.959999919,11911,4
2.6500000950000002,10090,2
8.179999828,24188,5
4.1300001139999996,9735,4
5.389999866,10750,4
0.720000029,7629,1
1.679999948,7453,1
19.10000038,41785,14
3.579999924,8077,2
1.580000043,5602,1
2.75,6184,2
41.29000068,112460,25
9.410000324,14670,7
13.40999985,33144,9
0.949999988,4397,1
32.28999996,89527,24
1.730000019,7116,2
0.889999986,8613,1
1.379999995,9730,1
10.2299999,51816,8
4.429999828,27289,3
3.829999924,20409,4
1.110000014,8044,1
5.349999905,15645,4
3.950000048,11611,3
4.019999981,9375,3
1.330000043,4402,1
3.089999914,8469,2
1.419999957,5823,1
6.019999981,25817,4
1.230000019,4971,1
77.07999969,162341,56
9.3299999239999991,24542,7
4.090000033,13621,3
1.370000005,6175,1
1.379999995,9076,1
5.909999967,20941,4
6.910000086,17167,5
9.539999962,24491,7
17.30000037,44699,13
1.309999943,6469,2
4.079999924,16053,3
17.92999995,54724,12
1.220000029,4706,1
4.569999933,8316,3
2.2699999809999998,5794,2
1.029999971,4813,1
36.13000035,85285,26
1.370000005,5839,1
1.539999962,5859,1
59.06999993,164118,41
7.810000062,18234,6
28.5,73676,20
10.07999992,18421,7
67.97999978,164754,49
1.639999986,7449,1
0.529999971,6424,1
1.370000005,6412,1
1.440000057,5040,1
3.919999957,8200,3
49.44000006,115896,38
1.230000019,10186,1
4.180000067,9134,3
1.440000057,3385,1
1.330000043,6142,1
3.749999881,9142,3
2.7300000190000002,5475,2
2.320000052,8254,2
1.320000052,5704,1
6.169999957,37873,5
4.940000057,25267,4
6.340000153,12318,5
0.860000014,4783,1
1.350000024,6475,1
39.25000095,104578,29
12.51000035,33664,11
4.079999924,7337,3
4.550000191,11244,3
8.910000086,29035,7
1.610000014,6532,1
4.300000191,11537,3
2.869999945,12183,3
1.559999943,5912,1
1.570000052,4012,1
3.210000038,12396,2
1.379999995,15720,1
2.839999914,2367,2
1.320000052,6607,1
1.519999981,5537,1
0.980000019,1909,1
1.409999967,1884,1
4.329999924,7780,3
1.070000052,2633,1
1.5,2967,1
1.230000019,5517,1
4.659999847,20050,4
1.539999962,5894,1
2.720000029,9948,2
4.2899999619999996,5307,3
3.25,4621,2
1.580000043,5775,1
2.619999886,9297,2
1.539999962,3717,1
1.590000033,2879,1
1.389999986,2749,1
12.39000034,24028,9
0.970000029,2983,1
3.1500000950000002,7589,2
11.94999981,20997,10
1.360000014,4617,1
1.480000019,3149,1
1.480000019,2563,1
7.269999981,10677,5
0.409999996,2189,1
2.680000067,3277,2
6.079999924,16274,4
1.50999999,2077,1
2.0999999049999998,4626,2
1.559999943,2764,1
2.960000038,5447,2
12.36999989,28169,8
254.049996,1194718,141
122.4,637648,67
86.33000112,459690,50
161.9099991,750060,86
1.820000052,30068,1
236.7699986,1267550,123
639.9499981,3052003,340
1.590000033,29945,1
52.97000015,357856,30
360.1500015,2080666,202
16.5200001,145999,9
1.539999962,32616,1
163.8999972,984521,95
210.3600006,880814,123
35.73000026,182452,20
215.8399994,894911,120
3.800000072,31349,2
96.80000055,410310,55
157.329998,572450,89
26.56999946,98759,15
93.08999991,345371,54
78.9200002,323899,46
103.1500002,399199,58
36.53000021,171202,22
28.85000002,128386,15
257.7099986,1034284,152
7.220000148,45923,5
7.899999976,40873,4
62.06000042,286553,34
2.0999999049999998,20618,1
14.14000046,83591,7
23.73000026,114923,12
1.710000038,25002,1
9.440000057,68905,5
27.799999239999998,169588,16
67.65000057,328991,35
2.9800000190000002,23198,2
3.24000001,26890,2
52.26000011,221695,31
13.0400002,88443,7
38.38999975,187856,23
138.7699997,570699,80
260.3800013,1063508,145
8.549999952,50523,6
15.63000023,87935,9
60.19999957,278225,33
34.19000006,209461,20
3.24000001,26316,2
5.140000105,41030,3
216.5599982,876671,120
93.07000041,399392,53
56.05999923,283858,30
54.09999871,260699,31
7.800000072,57781,5
5.220000029,38757,3
358.5500029,1392288,206
280.9899995,1109387,159
115.1200008,581281,65
219.770002,1048861,128
52.01999986,297452,30
35.30999994,227925,22
63.32000101,374175,38
54.24000037,223586,32
65.22999996,283170,39
4.2100000380000004,41636,3
48.60999978,198658,30
13.91999972,100596,10
11.0599997,64020,5
87.42000079,404866,43
1.659999967,22256,1
6.74000001,57690,4
8.220000267,24952,5
5.580000043,38900,3
9.2299999,53520,6
34.22999972,181683,20
3.149999976,29185,2
20.2099994,105047,13
59.43999982,287976,31
38.58999968,212175,22
21.84999979,124005,11
1.960000038,20423,1
22.32000005,103001,14
110.2399991,447420,66
29.75000048,156101,19
18.47000015,93015,12
36.24000025,145398,23
76.43999958,296413,50
11.80000019,63785,7
26.81999981,118522,14
65.67000115,240123,38
32.24000025,169108,20
245.5999999,1044442,142
17.6400001,93891,11
38.54999936,185823,25
40.75999951,175631,23
6.370000005,37187,4
89.76000047,344618,51
16.1500001,98066,9
189.1299984,770749,100
8.529999852,52553,5
67.77000129,362296,39
96.8999989,427729,50
37.13000011,180351,21
53.15999961,187329,29
192.9299995,782894,118
236.1199988,1206533,128
12.57000017,84494,7
12.5800004,94257,7
28.04999959,131060,16
83.48000121,341603,50
30.4799999,140749,19
20.29999983,102525,13
131.5799983,447952,68
14.62999988,76355,9
64.46999931,256598,38
30.15000057,127476,21
62.25000024,237603,37
78.03999984,271091,42
3.4000000950000002,21743,2
14.8300004,88970,10
22.42999983,108362,13
44.14000034,188596,27
69.65999997,275080,43
16.26999998,64647,10
5.789999902,31265,4
42.08000016,140147,24
67.66999984,223120,40
34.07000089,104869,18
41.71999967,165177,23
19.56999981,84194,11
57.37,220581,31
17.36999965,75804,10
100.289999,368986,59
3.709999919,28194,3
23.2099998,99961,14
177.8899992,685781,103
66.7700001,274222,43
32.67999995,110503,25
420.5799983,1447755,233
87.55000067,358987,52
232.3700008,826205,125
150.1400012,550954,84
96.48000073,378350,55
95.5100013,492784,56
72.3100003,327158,43
9.209999919,59390,5
254.2500038,1040330,147
11.17000031,49422,6
34.23000026,131091,18
25.26000011,95691,15
1.289999962,15513,1
113.9900012,382537,63
121.0999982,461356,64
98.70000017,392541,53
8.800000072,35088,5
9.929999948,53933,6
53.38999939,228861,33
3.7699999809999998,20959,2
3.1900000569999998,24992,2
24.17999995,100351,15
76.89999968,292448,43
14.5200001,65060,7
36.17000055,133316,21
38.44000077,113501,26
61.92999995,192810,41
70.4100008,233404,43
37.5999999,128843,24
20.59000027,63564,12
24.78000021,85970,14
29.53999937,131232,16
37.84999979,152454,22
2.290000021,28989,2
24.1900003,80248,15
8.519999981,38580,5
163.36,621591,91
58.14000005,250499,36
29.30999982,131637,18
116.3399996,463813,69
60.89999914,211767,35
40.02000093,163181,26
260.0699984,1117385,147
359.4700001,1663441,205
105.7099996,455248,54
10.66000009,75589,6
143.3000009,594267,82
65.02999854,315281,35
117.5599997,363456,71
143.4300001,438983,81
9.659999847,42563,5
124.7999995,399035,75
98.55000019,304680,59
40.77000022,140596,23
134.8799999,439986,80
19.3599999,75803,11
43.01000035,153586,28
42.62999976,180815,31
75.78999984,253169,51
7.7100000380000004,34453,5
14.03999984,51550,8
39.85999966,110018,24
36.77999961,137584,21
54.86999953,209825,30
87.7899996,264222,63
6.730000019,31202,5
76.83999932,252991,49
15.53999972,56265,9
17.67000008,76923,11
49.60000014,209332,30
53.26999903,214094,31
126.9299996,526209,85
179.620001,741143,120
38.42000043,172827,25
58.5999999,188873,38
39.72999978,123126,25
19.11000001,77794,14
15.81000018,56630,9
140.9700022,400844,85
60.76000023,208572,36
13.51000011,59004,8
55.10000002,196253,32
12.63000011,51858,8
81.36000025,280764,49
16.47000003,63660,11
31.02999997,109289,19
60.72999966,188440,40
74.83000135,212496,44
7.480000019,32574,5
36.4800005,128595,23
68.06000054,242234,48
7.879999995,33154,5
1.460000038,9773,1
123.5500004,464036,77
135.7500012,478480,75
116.8800001,428812,66
365.6600009,1177535,221
128.2799988,426500,72
10.77999985,54237,7
133.6999986,506916,89
64.87999952,250960,42
603.380002,2286228,353
220.559999,915451,125
33.89999998,159478,20
318.9700032,1228924,190
248.6400001,938283,134
40.93000007,154572,26
109.2500008,378171,70
134.1199975,468749,84
103.3899996,309823,60
116.5599996,327227,65
120.2999994,334945,72
25.45999968,68859,15
35.67999983,127125,20
131.7800006,415798,80
29.91000021,107671,20
46.7900002,164356,28
3.189999938,17662,2
16.67999983,65339,10
11.11000013,59838,7
127.5699993,381577,81
11.00999999,45491,8
3.5999999049999998,18946,2
33.65999997,114370,18
33.3499999,99698,21
128.6099997,355165,81
33.93000031,101431,23
36.4400003,123151,24
5.769999981,24078,4
181.7200011,517801,105
41.42000008,145104,25
58.67999971,179950,35
80.33999979,258531,46
104.4599996,272500,62
87.7300005,273197,57
253.990002,775904,172
39.44000006,120251,26
39.04999948,139406,24
16.93999958,60314,11
142.7099985,563074,86
27.29999983,168655,18
29.3799994,111963,17
277.5799986,1026304,168
422.8400038,1391924,258
38.50000083,147551,22
17.3299998,66794,9
32.30999994,118882,19
41.96999943,148010,24
352.4499989,932890,197
264.5899997,718359,147
158.5999998,433658,82
4.769999981,29455,3
4.820000052,23973,3
37.25999999,126480,25
39.5200007,138959,28
19.47999978,68829,12
16.38,49916,10
22.67000031,76014,16
15.99000025,50947,10
17.04999995,55536,11
64.40999997,318042,46
44.21999955,213016,30
38.18000007,182265,27
268.050002,1117371,177
77.59000027,333345,52
46.77999997,275930,30
153.1199975,740631,101
55.99000025,328272,35
31.5400002,178455,20
147.339999,705712,98
159.5700021,690373,91
117.6299995,515812,69
171.9799976,764793,101
18.10000038,87832,11
4.300000191,23368,3
11.57000005,51509,7
24.48000002,87043,16
169.6699982,565565,113
62.14000034,253758,43
76.68000025,319131,51
195.1499978,670608,130
38.36000013,159123,25
24.56999969,103709,15
74.41000032,271589,45
33.46999907,119772,20
4.220000029,26340,3
147.6700006,594968,111
62.14000058,185665,39
4.560000062,24959,3
35.05999982,136967,23
29.31000018,107548,19
169.9199973,588617,119
41.63,190560,26
75.70000076,373110,49
256.4699982,935646,170
612.3000032,2223278,421
51.84000087,240497,36
54.7900002,259984,37
179.050001,606786,127
17.74000001,83270,13
375.7199963,1189509,268
1.570000052,11471,1
429.4799981,1705246,295
95.8500005,418016,63
3.819999933,30155,3
226.5399992,990404,153
50.72000062,187468,34
54.57000089,208301,33
25.22000039,101856,16
9.970000267,48935,7
1.730000019,13911,1
123.0900019,511726,77
37.83000016,177452,24
33.03999937,149808,20
105.0199997,390339,60
5.929999948,39339,4
3.75,24893,2
343.2599944,1296189,212
19.1899997,91607,12
61.02999771,238036,38
56.16999996,254344,35
39.23000026,157705,23
99.1799984,411571,60
16.17999971,94136,11
23.97000039,82640,16
2.620000005,17870,2
2.779999971,19178,2
42.37000036,145548,28
22.04999971,82455,15
10.31999981,44189,7
9.809999943,45199,7
63.45000076,221843,43
10.54999995,41672,6
38.94000041,127546,25
38.02999961,127865,28
314.2999983,1025327,229
173.76,561415,124
37.32000124,132803,25
2.629999995,24664,2
263.8100007,1020561,172
177.1099993,682143,114
343.4199994,1247717,222
33.22999942,146406,23
234.6599982,905699,161
297.8299981,1184580,194
31.00999963,98057,20
84.65999889,238735,56
115.8800026,320657,77
84.51000023,244074,57
13.05999959,39146,8
23.64999962,78468,15
89.35000026,325653,63
17.30000019,66277,12
23.33999968,93002,16
40.9600004,109723,27
50.11000001,118941,35
66.79000068,221576,47
1.639999986,8341,1
36.2299993,120335,26
62.86999989,182098,40
71.58000052,227473,52
350.5099957,1050947,230
213.6899986,720859,162
10.96000016,41111,8
37.39999962,148616,25
210.8200028,707260,135
42.41000032,139596,26
33.19999933,105399,22
72.91000104,222378,50
293.8800011,975792,210
167.0499997,579150,125
123.800001,449588,81
85.70000196,318157,56
65.17999971,196967,43
46.43000007,158298,37
68.55999959,222739,55
8.189999938,20780,5
48.54999948,128616,33
82.27999902,258954,61
71.53000104,205289,48
191.419996,611601,138
321.8700004,947657,233
65.03000033,233043,49
194.8099988,582725,142
78.45999932,265038,51
53.62999868,222273,39
243.7699978,797234,170
262.8899981,925555,182
4.050000191,22210,3
16.40999985,46391,11
66.38999987,190477,42
9.609999895,25382,7
22.12000012,65726,17
78.06000042,195220,51
40.87999928,107501,27
88.21000016,197772,63
48.93999863,138154,35
95.84999895,270124,69
106.9299998,303971,77
254.419997,682046,183
117.3400005,328365,83
390.2599992,1083259,276
340.4099993,913929,245
33.47000039,101586,24
66.27999985,181053,46
48.18000007,133419,35
156.1199993,489573,113
288.3300035,822023,194
40.37000024,93176,29
19.27999985,47229,13
34.03000015,92263,24
29.67000008,81551,21
47.78999913,141037,32
111.6500003,319501,79
24.33000016,72741,19
188.5100002,597419,135
33.14000034,98768,21
59.85000026,173165,41
21.10999966,55823,13
38.35000062,118451,28
30.84000027,74424,22
14.58999991,47929,12
15.91999972,40801,12
24.22000015,66017,17
238.4000007,725043,179
132.7300007,382776,97
201.6000042,548250,137
465.0799981,1358324,346
234.9399992,662249,163
195.0799994,559554,139
104.6899989,320757,68
295.5499957,906151,202
226.0300014,699314,164
287.690003,850337,198
315.9000051,1015460,247
332.9899989,890295,227
282.490001,791817,194
115.6600008,317601,76
247.3200026,685211,164
11.20000017,32781,7
25.45999998,76785,19
299.5299983,719083,206
140.4200011,368480,107
100.8800011,260945,73
13.350000380000001,40998,10
73.74999964,183293,53
76.75999916,221561,55
145.8199974,436943,109
125.2700011,284488,90
38.62999976,85083,32
7.139999986,14167,5
116.9899981,300637,84
175.9700005,449921,129
105.6600007,282899,71
259.1799988,669671,186
46.92000186,108655,28
187.7399978,536248,146
380.6599952,1055017,265
541.7000023,1428421,367
409.5600026,1088027,272
102.3900002,288517,78
67.13000107,202231,53
22.86000025,73222,16
134.889999,348542,96
369.069997,1097966,266
198.0899972,526923,138
91.00000054,264386,66
297.9100007,854940,227
50.29000044,113567,34
9.419999838,22859,6
20.51999998,51754,13
38.13999993,104347,28
142.0500025,391998,97
402.3000026,1111156,282
159.299999,427772,117
193.6599991,536457,136
66.83999872,179894,43
178.6700007,479882,131
130.3600011,358261,91
114.8599998,346688,88
3.199999928,33445,2
7.529999852,72228,5
2.6900000569999998,49699,2
27.32999969,189761,18
53.78999972,312524,37
61.00999904,496760,42
46.66999936,310988,34
12.10999984,98606,9
3.199999928,51104,2
32.09000015,276762,22
2.960000038,33534,2
23.69999957,128859,16
16.94000018,92080,12
46.64999926,211882,33
12.67999995,112776,9
19.82000005,145324,14
21.26000023,106492,14
40.73000062,233845,30
25.01000023,155426,17
11.5199995,97540,8
7.700000048,61441,5
12.149999619999999,76703,9
14.96000034,68619,10
1.49000001,17559,1
28.47000003,137879,19
15.14999998,67710,10
60.22999907,348180,41
28.71999955,146246,18
34.86999965,187236,24
13.50000036,72157,9
13.55999994,91180,10
9.259999871,86293,6
17.94000006,101410,12
25.75000024,134245,18
30.08000076,125650,20
7.26000011,50406,5
18.41999996,121769,13
50.5,267106,34
82.13999915,365539,57
36.60000038,188758,25
19.58000016,108426,13
13.65000045,138525,9
30.26000011,150858,21
113.6800029,524306,81
11.42999983,104496,9
99.52000237,452519,68
110.7800021,442919,76
120.8799992,596831,86
35.54000032,173912,26
119.6400018,780967,86
11.18999994,132124,8
138.9200006,623137,100
14.48000044,99020,10
163.8000002,665817,117
111.9899995,699232,80
15.04999995,72982,11
237.3199975,975884,167
47.87999952,245607,33
164.6400015,485369,114
200.8299961,866355,139
105.2199969,502710,72
127.3200028,475184,88
68.67000008,357401,47
20.05000019,99810,14
9.409999967,81569,6
77.59999979,441192,53
16.73000002,90470,11
246.7499975,834243,166
223.1899948,696612,152
67.60999918,329333,48
319.0000019,1114711,224
82.92999887,267316,58
57,228629,38
233.110002,758340,159
217.7799966,877535,149
323.0600071,1357386,223
87.99000168,280240,61
105.4500008,419922,75
120.8999977,402975,83
301.0499992,1137635,211
62.31999922,250234,40
279.219995,904907,195
158.0500023,589270,107
36.01000071,168714,24
16.34000051,71982,11
162.6399975,558666,110
333.7499943,1118200,235
33.71000051,107100,23
232.5900005,877769,160
47.69000006,212508,33
358.189997,1129773,252
173.8800035,637549,120
40.28999949,151531,28
198.7100005,790253,135
165.6099987,513161,114
